cell_name	feature	corr_value
Cortext	AT1G21310	0.16468409049197036
Cortext	AT5G42590	0.13351381323781444
Cortext	AT1G12090	0.13162516827041967
Cortext	AT1G13930	0.1224940957411408
Cortext	AT1G29025	0.12050451656475444
Cortext	AT5G13930	0.11725061561342907
Cortext	AT4G23400	0.11483285382391699
Cortext	AT4G22460	0.11164202372432347
Cortext	AT5G42250	0.1101255330896116
Cortext	AT5G48010	0.1082361870600235
Cortext	AT5G49360	0.10802835562489244
Cortext	AT2G45180	0.10779687008937597
Cortext	AT5G57785	0.10747210535958199
Cortext	AT5G10770	0.1027153196628145
Cortext	AT3G44310	0.10138580768020868
Cortext	AT1G75780	0.09819993090858864
Cortext	AT4G39350	0.09262197986355662
Cortext	AT3G23530	0.09137082957247128
Cortext	AT3G23510	0.08839539956120218
Cortext	AT3G51240	0.08787863336590479
Cortext	AT5G24165	0.08564143521487072
Cortext	AT2G39010	0.08557042315200153
Cortext	AT1G58360	0.08459364974402926
Cortext	AT5G15180	0.08309075638472056
Cortext	AT5G08640	0.08297860394768526
Cortext	AT1G79040	0.08263248808248201
Cortext	AT5G01210	0.08240534571614005
Cortext	AT5G38550	0.08094083415246409
Cortext	AT3G24420	0.08033749100127421
Cortext	AT4G20362	0.0800822238739213
Cortext	AT1G47480	0.07852211285500138
Cortext	AT5G56870	0.07785589735850465
Cortext	AT1G44100	0.07763387242080576
Cortext	AT4G25830	0.07728756876786777
Cortext	AT1G20190	0.07692641075924833
Cortext	AT4G00165	0.07543549506094219
Cortext	AT1G12845	0.07529243212029584
Cortext	AT2G15370	0.07480177029384563
Cortext	AT3G23810	0.07475769077486767
Cortext	AT5G09978	0.07426822199987355
Cortext	AT1G20010	0.07370730352457137
Cortext	AT1G11670	0.07299505954444496
Cortext	AT4G12880	0.07261515477051704
Cortext	AT3G47960	0.07207743551716163
Cortext	AT3G27170	0.07117359453142587
Cortext	AT5G25460	0.0704033561260348
Cortext	AT3G21510	0.06960438364322813
Cortext	AT1G31330	0.06930132508313362
Cortext	AT4G15290	0.06929617638218043
Cortext	AT1G62770	0.06916940164161288
Cortext	AT5G40890	0.06893323158713194
Cortext	AT2G22170	0.06872185383947528
Cortext	AT5G11420	0.06826635556030353
Cortext	AT1G12240	0.06811323268880164
Cortext	AT3G18830	0.06755169414825705
Cortext	AT2G34070	0.06707073986616248
Cortext	AT5G23220	0.06699884618439839
Cortext	AT5G26660	0.06662418485502399
Cortext	AT4G16563	0.06651478364840055
Cortext	AT5G07322	0.06550967120352015
Cortext	AT2G06520	0.06402104230220737
Cortext	AT5G13630	0.06366498904979835
Cortext	AT2G26690	0.06319349524447977
Cortext	AT1G09750	0.06317622606463337
Cortext	AT4G18760	0.0624830041627619
Cortext	AT2G23910	0.062243097819527436
Cortext	AT1G55360	0.06140991956467051
Cortext	AT3G05150	0.06017207371068985
Cortext	AT2G45220	0.06005312944510203
Cortext	AT1G62790	0.05899674002658072
Cortext	AT4G30280	0.05894727046775897
Cortext	AT2G34420	0.05872655961680859
Cortext	AT1G15625	0.05854147872164694
Cortext	AT1G22550	0.0578791243129092
Cortext	AT2G01530	0.057355337018041776
Cortext	AT3G45650	0.05708005802859858
Cortext	AT2G34810	0.056549100704535366
Cortext	AT1G70890	0.05644567655359744
Cortext	AT3G21560	0.056193872941184934
Cortext	AT1G44575	0.05602001699824912
Cortext	AT3G14840	0.05580714899668419
Cortext	AT2G03370	0.055690141942496274
Cortext	AT3G20100	0.05536717534839659
Cortext	AT5G66570	0.05491407125139885
Cortext	AT5G47980	0.054778649225818064
Cortext	AT4G33790	0.054574997030661695
Cortext	AT5G66920	0.054104505513255435
Cortext	AT3G16850	0.05370876201019475
Cortext	AT5G04330	0.053450398436763434
Cortext	AT3G58440	0.05303066867112724
Cortext	AT5G65380	0.05297651971602559
Cortext	AT5G20670	0.05291686694200176
Cortext	AT4G25560	0.05251261925290214
Cortext	AT3G29410	0.05227240478983882
Cortext	AT3G06750	0.051934500814453874
Cortext	AT5G66330	0.05182597426697739
Cortext	AT5G07990	0.0509965678588902
Cortext	AT3G55120	0.050880026927664884
Cortext	AT3G28940	0.05068265946846828
Cortext	AT1G09257	0.05062584880504356
Cortext	AT4G13860	0.05041141267645833
Cortext	AT3G10520	0.050195016939900285
Cortext	AT1G57990	0.04998936519887933
Cortext	AT1G73330	0.04972424420961094
Cortext	NM-175656.3	0.04970543030610263
Cortext	AT3G52480	0.049112945050233336
Cortext	AT2G32530	0.04906366145404754
Cortext	AT4G39070	0.04881295133091227
Cortext	AT4G36380	0.048799077305449516
Cortext	AT1G19020	0.04818346687575406
Cortext	AT3G62660	0.0480423420005317
Cortext	AT3G13610	0.0479298318513897
Cortext	AT1G08510	0.04786568273408538
Cortext	AT1G08380	0.047568696692936535
Cortext	AT5G05270	0.04742259020847613
Cortext	AT1G15210	0.047338622302190304
Cortext	AT5G44190	0.046977557544619485
Cortext	AT1G66970	0.046470256360235
Cortext	AT4G28040	0.04645542698119299
Cortext	AT1G07650	0.04639866277650974
Cortext	AT3G13061	0.04597397351150213
Cortext	AT5G09750	0.04582438132795046
Cortext	AT2G48020	0.045780880802268505
Cortext	AT1G27210	0.0457393458849495
Cortext	AT5G52250	0.04547174977724956
Cortext	AT1G08697	0.04545983373986029
Cortext	AT1G70370	0.04518486639973178
Cortext	ATCG00020	0.044691418095729005
Cortext	AT1G80180	0.044605595469726
Cortext	AT5G27930	0.0445292435906376
Cortext	AT1G15820	0.04435935665044839
Cortext	AT4G37700	0.04417656305637726
Cortext	AT1G54095	0.04411512087612765
Cortext	AT1G26761	0.044041850631501095
Cortext	AT1G20340	0.043770925635259215
Cortext	AT4G37950	0.04372814148660635
Cortext	AT2G38300	0.04365484643390845
Cortext	AT2G17060	0.04360027607877591
Cortext	AT4G00150	0.04356444489430626
Cortext	AT5G41260	0.04351892228098723
Cortext	AT5G42760	0.04298204047198267
Cortext	AT1G18980	0.04277769697905568
Cortext	AT1G15640	0.042764961191749336
Cortext	AT1G21100	0.042439818262341625
Cortext	AT2G01422	0.04227671478801152
Cortext	AT4G21445	0.042068020882129686
Cortext	AT3G51860	0.041985813570559576
Cortext	AT2G41312	0.04188848851957022
Cortext	AT1G67740	0.041745762196132685
Cortext	AT2G26190	0.04123611953620925
Cortext	AT5G36120	0.041066847166160735
Cortext	AT1G10960	0.04073796567502395
Cortext	AT4G23270	0.04069818638025776
Cortext	AT5G21100	0.040650947180385366
Cortext	AT5G24210	0.040474667717750885
Cortext	AT3G26460	0.04032796021670968
Cortext	AT4G12970	0.040193001164038025
Cortext	AT5G40170	0.039981192829261616
Cortext	AT5G07190	0.03954920609440038
Cortext	AT3G28160	0.03911251661321896
Cortext	AT5G65480	0.039094784965848416
Cortext	AT5G27450	0.03887288096052585
Cortext	AT1G68410	0.03875894815810614
Cortext	AT4G30420	0.03874150919842302
Cortext	AT4G24100	0.03869255341117705
Cortext	AT1G18870	0.03846992222710472
Cortext	AT3G44300	0.038345227283139056
Cortext	AT2G06615	0.0382803297284992
Cortext	AT3G43670	0.03825791207438595
Cortext	AT1G52000	0.03823334290053153
Cortext	AT5G54270	0.038209033733589685
Cortext	AT4G25640	0.038199250781759855
Cortext	AT4G21280	0.038152095520611766
Cortext	AT3G26590	0.03812176192591269
Cortext	AT3G47470	0.03809889871688802
Cortext	AT3G56940	0.038091507938793685
Cortext	AT5G15410	0.038085504893000784
Cortext	AT2G40260	0.037871485855607664
Cortext	AT5G20410	0.037775778149298216
Cortext	AT4G36220	0.03769950169200552
Cortext	AT5G66310	0.03765617682869205
Cortext	AT5G47770	0.03745655565731127
Cortext	AT5G38020	0.03744305165883317
Cortext	AT4G23670	0.03734174257010312
Cortext	AT2G39310	0.03733159839771625
Cortext	AT2G24160	0.037292758608790055
Cortext	AT3G49120	0.03720912115527402
Cortext	AT2G16367	0.03695242759686357
Cortext	AT1G50250	0.0369067943836271
Cortext	AT2G28860	0.03663659262016162
Cortext	AT2G37580	0.03656221095042142
Cortext	AT3G11090	0.03655371963273138
Cortext	AT1G76930	0.03637498796069781
Cortext	AT3G18773	0.03634356851959352
Cortext	AT2G29290	0.03633677769367602
Cortext	AT2G42900	0.036250590919970564
Cortext	AT3G47250	0.036146329018941895
Cortext	AT5G44160	0.035999379326888924
Cortext	AT4G17810	0.03594317931956932
Cortext	AT3G59940	0.035910730890063684
Cortext	AT2G41940	0.0358674512373067
Cortext	AT3G61440	0.035866146307632366
Cortext	AT5G39210	0.03579311832363602
Cortext	AT2G02780	0.03575858433839473
Cortext	AT1G78230	0.035700862889285395
Cortext	AT1G61520	0.03569898284341267
Cortext	AT3G02750	0.035656126183730555
Cortext	AT3G48310	0.03560195935097892
Cortext	AT1G69310	0.03554981016530125
Cortext	AT1G21110	0.0355461011049846
Cortext	AT1G02850	0.035414121027631584
Cortext	AT4G38550	0.035338161666678594
Cortext	AT3G57070	0.03523895332766186
Cortext	AT1G79410	0.03514107277236373
Cortext	AT3G28040	0.035106406770339216
Cortext	AT4G12990	0.03492917162545905
Cortext	AT3G63140	0.03491602220953922
Cortext	AT4G12530	0.03475117739571292
Cortext	AT2G20260	0.03474520073310641
Cortext	AT5G24910	0.034706467785679436
Cortext	AT4G04750	0.034564861680844564
Cortext	AT4G38540	0.03450158784148346
Cortext	AT1G14540	0.03445532374069039
Cortext	AT1G51400	0.03438658212439338
Cortext	AT1G16720	0.03436145578344073
Cortext	AT4G04955	0.03435615398930381
Cortext	AT1G29930	0.034292375346126135
Cortext	AT1G10550	0.034156392460004015
Cortext	AT1G70900	0.03412278375706771
Cortext	AT1G79720	0.03407684109272005
Cortext	AT4G30900	0.034061209022159485
