cell_name	feature	corr_value
Protoxylem	AT4G18780	0.26755019356754944
Protoxylem	AT5G17420	0.2674229703692485
Protoxylem	AT4G35350	0.2673318086726724
Protoxylem	AT5G44030	0.2629604857044477
Protoxylem	AT3G27200	0.2571854024520397
Protoxylem	AT1G20850	0.25713008116819336
Protoxylem	AT2G28315	0.2536124215583901
Protoxylem	AT2G37090	0.2510938438277892
Protoxylem	AT3G21550	0.24766029558818906
Protoxylem	AT3G62020	0.2474973878532747
Protoxylem	AT5G15630	0.2423049369737861
Protoxylem	AT1G02640	0.2418419205899974
Protoxylem	AT5G60720	0.24175156951523816
Protoxylem	AT5G16490	0.24001495057879396
Protoxylem	AT1G58070	0.2390694949518421
Protoxylem	AT3G16920	0.2378666614139376
Protoxylem	AT2G27740	0.2313387937613785
Protoxylem	AT2G46760	0.22760846931327805
Protoxylem	AT5G60020	0.22744190611011506
Protoxylem	AT2G38080	0.22682304464475475
Protoxylem	AT5G03260	0.2249130611690882
Protoxylem	AT1G75090	0.22464341318485506
Protoxylem	AT5G12870	0.2238188478191724
Protoxylem	AT3G55990	0.22258575968077035
Protoxylem	AT2G38320	0.22077785601446973
Protoxylem	AT5G51890	0.22036472511929686
Protoxylem	AT4G33330	0.21962091044465887
Protoxylem	AT5G26330	0.2190806167112032
Protoxylem	AT5G42710	0.2181994991030161
Protoxylem	AT2G40320	0.2173073747611912
Protoxylem	AT3G51325	0.21455605353234208
Protoxylem	AT3G18660	0.2144640175845252
Protoxylem	AT4G08160	0.21414033551510853
Protoxylem	AT5G40020	0.21119063038343708
Protoxylem	AT3G49330	0.2110337259994444
Protoxylem	AT1G58370	0.2109411402722951
Protoxylem	AT4G27435	0.20866377009246692
Protoxylem	AT3G50220	0.20571819943789169
Protoxylem	AT5G54690	0.20535494889105133
Protoxylem	AT5G03170	0.2051924777612274
Protoxylem	AT1G75280	0.20111654478173754
Protoxylem	AT1G55910	0.2009609368369364
Protoxylem	AT3G43190	0.1993270519335434
Protoxylem	AT1G27440	0.1942446156151608
Protoxylem	AT1G09440	0.1914487904850727
Protoxylem	AT2G39710	0.19103447317636327
Protoxylem	AT5G01190	0.1902711879679456
Protoxylem	AT5G01360	0.19020784840423727
Protoxylem	AT1G54790	0.1892993167272852
Protoxylem	AT1G24600	0.1888277108034204
Protoxylem	AT3G08500	0.18826554044672286
Protoxylem	AT1G02335	0.18799616670027647
Protoxylem	AT1G62981	0.1865542684904227
Protoxylem	AT1G63120	0.18475663020475447
Protoxylem	AT5G67230	0.1793818012914178
Protoxylem	AT1G73140	0.17891696028922816
Protoxylem	AT1G23460	0.17844088119874033
Protoxylem	AT4G26580	0.1783674610906825
Protoxylem	AT1G78120	0.17632898516752074
Protoxylem	AT1G43790	0.17595708329236034
Protoxylem	AT2G17710	0.1757205906453606
Protoxylem	AT2G34790	0.17561730836735034
Protoxylem	AT5G45970	0.17428642786574755
Protoxylem	AT5G07800	0.1709885023384943
Protoxylem	AT2G34410	0.17041597786992074
Protoxylem	AT3G62160	0.17013996143909385
Protoxylem	AT1G12260	0.1692732339290015
Protoxylem	AT3G24535	0.16855071999507296
Protoxylem	AT2G45420	0.16801837728339786
Protoxylem	AT1G29200	0.16682545019469494
Protoxylem	AT3G53350	0.16567690640752045
Protoxylem	AT3G05470	0.16512896476259334
