cell_name	feature	corr_value
Columella	AT2G04025	0.15415564152431294
Columella	AT4G34970	0.15116608325969785
Columella	AT5G44417	0.14274783073026193
Columella	AT1G03230	0.13919707546576995
Columella	AT1G13620	0.13742022055608566
Columella	AT1G23160	0.13437005412264144
Columella	AT5G10130	0.13390245107962168
Columella	AT4G09415	0.13294456846556074
Columella	AT1G07280	0.13207392763590214
Columella	AT1G36060	0.12933276671439015
Columella	AT4G30080	0.12738254768157645
Columella	AT1G52690	0.12708200616754095
Columella	AT2G41800	0.1270600675544086
Columella	AT1G25275	0.12518208239288428
Columella	AT4G17940	0.12511084398901826
Columella	AT5G61470	0.12467491975938272
Columella	AT3G14530	0.12453849866339466
Columella	AT4G11610	0.12397651922823208
Columella	AT5G23820	0.12263578742668813
Columella	AT5G38200	0.12069964534078614
Columella	AT1G04610	0.12052612255951704
Columella	AT1G76600	0.12032326346771582
Columella	AT5G19110	0.12003502450343455
Columella	AT4G01870	0.11955858823581254
Columella	AT3G07410	0.119431734944081
Columella	AT5G17520	0.11907683002533682
Columella	AT1G54010	0.11887377618248067
Columella	AT3G07390	0.11845262491292545
Columella	AT5G60520	0.11796410782720115
Columella	AT2G39350	0.11777390113298257
Columella	AT5G02260	0.1174474059951986
Columella	AT4G15215	0.11725688761793347
Columella	AT1G28290	0.11699757530937732
Columella	AT4G17490	0.11645975227577147
Columella	AT4G28720	0.11555377195149184
Columella	AT3G04320	0.11548186266925398
Columella	AT5G66280	0.11511166439648515
Columella	AT1G52070	0.114834309950498
Columella	AT2G43610	0.11451879234201805
Columella	AT3G29430	0.11292052833783825
Columella	AT2G45740	0.11279067294723982
Columella	AT1G17180	0.11244468359960834
Columella	AT3G59480	0.1122856322221168
Columella	AT5G54370	0.11184640880184347
Columella	AT4G35720	0.11169862317750502
Columella	AT1G22190	0.11142473049247023
Columella	AT1G78340	0.1114176570028597
Columella	AT1G22880	0.11138632357875652
Columella	AT1G79580	0.11078054652266003
Columella	AT1G56680	0.11054538665733754
Columella	AT1G01580	0.10971157930785448
Columella	AT1G52060	0.10968435759142954
Columella	AT4G37870	0.10958875971597444
Columella	AT1G14080	0.1093784711649582
Columella	AT1G03220	0.10914220601233576
