cell_name	feature	corr_value
Endodermis	AT2G36100	0.6430776020366465
Endodermis	AT3G55230	0.6376253020099389
Endodermis	AT2G28670	0.6299055770987967
Endodermis	AT4G13580	0.627621677941397
Endodermis	AT3G24020	0.6266149787004928
Endodermis	AT2G40113	0.5995881695342165
Endodermis	AT5G65530	0.5761068741838832
Endodermis	AT1G44970	0.5586513630477555
Endodermis	AT2G32300	0.5412057061214688
Endodermis	AT1G43020	0.5285302813506858
Endodermis	AT3G52790	0.5251906008375187
Endodermis	AT3G53260	0.5196212115909605
Endodermis	AT1G28815	0.5049515281232534
Endodermis	AT4G21340	0.4918950051585729
Endodermis	AT1G61240	0.4903464231654169
Endodermis	AT5G15290	0.4885474274860064
Endodermis	AT1G72310	0.4868596397273421
Endodermis	AT3G24463	0.4850604092121293
Endodermis	AT1G07740	0.4792578033234826
Endodermis	AT1G47860	0.4716883119334898
Endodermis	AT4G24130	0.4715705832508582
Endodermis	AT5G47530	0.4629607874823365
Endodermis	AT2G37950	0.4624046577777282
Endodermis	AT4G20140	0.4611621850399807
Endodermis	AT3G22600	0.4496634527359082
Endodermis	AT4G26140	0.4495914794727685
Endodermis	AT3G10910	0.4482639118530824
Endodermis	AT5G10520	0.4435162783225238
Endodermis	AT5G23920	0.4418816659037796
Endodermis	AT4G34220	0.4337428648401072
Endodermis	AT2G22620	0.42624749918880817
Endodermis	AT5G67340	0.4229056808763095
Endodermis	AT1G70140	0.421843105709851
Endodermis	AT5G63590	0.4209728722915623
Endodermis	AT5G18680	0.4171683451531907
Endodermis	AT4G05170	0.4151888516483456
Endodermis	AT1G01120	0.412418522368052
Endodermis	AT3G15518	0.4093940160339391
Endodermis	AT4G32570	0.4065711394498964
Endodermis	AT3G16340	0.4059764901689694
Endodermis	AT2G20290	0.40163672831413866
Endodermis	AT5G41040	0.3987920553411784
Endodermis	AT1G01480	0.390826206299064
Endodermis	AT2G28650	0.3886039642345385
Endodermis	AT1G08670	0.3880401986511428
Endodermis	AT2G45040	0.3847227641274467
Endodermis	AT3G52400	0.3781772119328537
Endodermis	AT5G09440	0.37789283477569385
Endodermis	AT2G37530	0.3768450159481352
Endodermis	AT3G23160	0.3718750820129959
Endodermis	AT5G26310	0.3698431606467712
Endodermis	AT3G32980	0.3681352324910509
Endodermis	AT5G38005	0.36741892511474616
Endodermis	AT4G32200	0.3613218023231156
Endodermis	AT5G37540	0.3597276326361312
Endodermis	AT1G02900	0.3592300007818135
