cell_name	feature	corr_value
Protoxylem	AT1G20850	0.25713008116819336
Protoxylem	AT1G50060	0.012472192342749888
Protoxylem	AT3G27200	0.2571854024520397
Protoxylem	AT1G13620	0.004633206788863938
Protoxylem	AT4G35350	0.26733180867267237
Protoxylem	AT1G67090	0.003718691627455648
Protoxylem	AT4G34970	0.006025163069589682
Protoxylem	AT1G29930	0.0032070660142480834
Protoxylem	AT4G31840	0.008475268462157525
Protoxylem	AT5G16250	0.008040386878988484
Protoxylem	AT5G51890	0.22036472511929694
Protoxylem	AT5G60020	0.22744190611011503
Protoxylem	AT2G04025	0.007019834074674082
Protoxylem	AT3G18280	0.02902808722117221
Protoxylem	AT1G51470	0.020377932720782962
Protoxylem	AT3G24020	0.010207914616143697
Protoxylem	AT4G25820	0.021645736264841935
Protoxylem	AT1G29920	0.0038751501957752757
Protoxylem	AT2G40113	0.010883321622062268
Protoxylem	AT4G40090	0.02215938449035268
Protoxylem	AT5G38410	0.0038953556964532246
Protoxylem	AT4G13580	0.010576155354805694
Protoxylem	AT3G62680	0.02235089513018483
Protoxylem	AT5G57530	0.017724999078636956
Protoxylem	AT3G21550	0.24766029558818903
Protoxylem	AT3G49960	0.01943710421764877
Protoxylem	AT5G67400	0.019842036905517002
Protoxylem	AT2G16005	0.004873796481203462
Protoxylem	AT3G55230	0.01045457200067915
Protoxylem	AT4G02270	0.018136274424780868
Protoxylem	AT2G28315	0.25361242155839014
Protoxylem	AT3G16920	0.23786666141393756
Protoxylem	AT2G36100	0.01564726887135989
Protoxylem	AT5G35190	0.017671588566459548
Protoxylem	AT4G27435	0.20866377009246698
Protoxylem	AT3G02640	0.006310109742140041
Protoxylem	AT5G02640	0.07242206415285116
Protoxylem	AT2G47540	0.020300705605068976
Protoxylem	AT2G05380	0.004569731152984409
Protoxylem	AT2G31083	0.008083839349226813
Protoxylem	AT1G12560	0.02287166333644085
Protoxylem	AT1G47600	0.02144521851218482
Protoxylem	AT4G23800	0.008317483668599033
Protoxylem	AT5G03170	0.2051924777612274
Protoxylem	AT1G65570	0.015468943833817448
Protoxylem	AT1G54970	0.01775114608076408
Protoxylem	AT5G40020	0.21119063038343708
Protoxylem	AT5G60490	0.07782634830141832
Protoxylem	AT2G38080	0.22682304464475475
Protoxylem	AT5G44030	0.2629604857044477
Protoxylem	AT2G28670	0.016738836619512275
Protoxylem	AT2G05070	0.0019940963646662936
Protoxylem	AT5G03260	0.2249130611690882
Protoxylem	AT1G79040	0.014577946612051447
Protoxylem	AT3G62020	0.2474973878532747
Protoxylem	AT4G00680	0.022023936799348776
Protoxylem	AT5G17420	0.2674229703692485
Protoxylem	AT5G16490	0.24001495057879396
Protoxylem	AT5G04200	0.053722248869802036
Protoxylem	AT3G61470	0.0025615800503929844
Protoxylem	AT2G24980	0.017335912969922887
Protoxylem	AT2G39730	0.00493550070511816
Protoxylem	AT1G26820	0.05019582151581143
Protoxylem	AT4G26010	0.01756136648730745
Protoxylem	AT1G08560	0.007341491542109266
Protoxylem	AT5G15290	0.014287648859235138
Protoxylem	AT1G61520	0.004233880957132771
Protoxylem	AT2G02990	0.008679721229626576
Protoxylem	AT5G57625	0.020628292611563997
Protoxylem	AT4G13390	0.012591270709957336
Protoxylem	AT2G20520	0.014519329450337118
Protoxylem	AT3G02120	0.006149078736472379
Protoxylem	AT1G63120	0.18475663020475447
Protoxylem	AT3G53980	0.007662325264723235
Protoxylem	AT4G22214	0.015840000022575334
Protoxylem	AT4G28140	0.05479716053130603
Protoxylem	AT5G04960	0.0197132617784575
Protoxylem	AT1G65310	0.020016692368984457
Protoxylem	AT5G06630	0.013269180384591161
Protoxylem	AT1G43790	0.17595708329236034
Protoxylem	AT3G54890	0.0022945738526470496
Protoxylem	AT4G39675	0.005574628674642431
Protoxylem	AT2G27740	0.2313387937613785
Protoxylem	AT3G09925	0.021602742323799273
Protoxylem	AT4G18780	0.26755019356754944
Protoxylem	AT5G38420	0.0037393326852505145
Protoxylem	AT4G08400	0.01726453946091939
Protoxylem	AT4G38970	0.0052494137223034155
Protoxylem	AT1G12090	0.02524538757334349
Protoxylem	AT3G54590	0.021358620202226793
Protoxylem	AT1G62980	0.022394609266294285
Protoxylem	AT1G08283	0.15448875324879865
Protoxylem	AT2G30570	0.0034979826091155676
Protoxylem	AT5G05500	0.02270160513691182
Protoxylem	AT3G51280	0.008596964026440303
Protoxylem	AT1G02335	0.18799616670027655
Protoxylem	AT5G06150	0.00766366090399551
Protoxylem	AT3G26650	0.0036220020529384596
Protoxylem	AT5G12870	0.2238188478191724
Protoxylem	AT5G66230	0.0059067168679346775
Protoxylem	AT5G38430	0.0024665902415199194
Protoxylem	AT2G05100	0.0035530350904224807
Protoxylem	AT5G06640	0.016425475155927165
Protoxylem	AT5G12020	0.00623551113920839
Protoxylem	AT3G60280	0.01904787054948686
Protoxylem	AT1G08160	0.007581803769222567
Protoxylem	AT4G08410	0.01850656667874293
Protoxylem	AT5G10400	0.011209306760627714
Protoxylem	AT5G63660	0.012586183748188954
Protoxylem	AT1G07610	0.01695833252800194
Protoxylem	AT1G73620	0.01248935593460583
Protoxylem	AT5G28640	0.00630711645722909
Protoxylem	AT1G11190	0.08465112402715008
Protoxylem	AT3G14740	0.006948319342861064
Protoxylem	AT5G04080	0.009805468854939187
Protoxylem	AT5G49080	0.015390295073774578
Protoxylem	AT1G27140	0.015933202058798
Protoxylem	AT4G28750	0.004599870409413628
Protoxylem	AT3G52110	0.0046102398707767505
Protoxylem	AT4G33270	0.005679949747324413
Protoxylem	AT5G57540	0.013306042465154157
Protoxylem	AT1G04610	0.017715645036537934
Protoxylem	AT1G47210	0.005806548714046066
Protoxylem	AT4G08160	0.21414033551510858
Protoxylem	AT5G22410	0.019912774750160383
Protoxylem	AT1G34330	0.015914468836244568
Protoxylem	AT1G01750	0.025390476913292426
Protoxylem	AT2G37090	0.2510938438277892
Protoxylem	AT1G54050	0.00848033837563411
Protoxylem	AT4G10340	0.0046950403828037324
Protoxylem	AT5G48920	0.12860079761872542
Protoxylem	AT1G11925	0.003964896454637419
Protoxylem	AT2G32300	0.022547231474468733
Protoxylem	AT1G58070	0.23906949495184218
Protoxylem	AT1G31330	0.005943027048302867
Protoxylem	AT2G05440	0.007375302636567592
Protoxylem	AT5G08391	0.004740811688314113
Protoxylem	AT5G26330	0.2190806167112032
Protoxylem	AT5G25090	0.008196118012839627
Protoxylem	AT2G34420	0.010651575552986448
Protoxylem	AT5G12030	0.004396941570781262
Protoxylem	AT3G55990	0.22258575968077035
Protoxylem	AT5G59690	0.013099874426649267
Protoxylem	AT1G50490	0.008207348115867553
Protoxylem	AT5G66570	0.0066855881122118615
Protoxylem	AT3G19430	0.019744981362191463
Protoxylem	AT5G65530	0.008578609512931065
Protoxylem	AT3G59370	0.012802045754926841
Protoxylem	AT4G30450	0.010001667719452158
Protoxylem	AT4G39700	0.004431410757299215
Protoxylem	AT3G27060	0.010026958913498179
Protoxylem	AT5G50950	0.09231967359427563
Protoxylem	AT1G30870	0.021260446727905426
Protoxylem	AT5G15630	0.24230493697378608
Protoxylem	AT5G63270	0.02228122023955641
Protoxylem	AT5G64040	0.003782947618287904
Protoxylem	AT2G33790	0.02027641572479211
Protoxylem	AT2G38530	0.004540346907208645
Protoxylem	AT3G59765	0.010090241134751312
Protoxylem	AT1G53540	0.004669376099174637
Protoxylem	AT1G29520	0.006968663819272875
Protoxylem	AT1G55670	0.002929430112582907
Protoxylem	AT4G37390	0.00530552893599414
Protoxylem	AT4G23690	0.11814604957146532
Protoxylem	AT2G25735	0.00833453092321546
Protoxylem	AT5G40860	0.018936082542807188
Protoxylem	AT5G56120	0.007866408661544382
Protoxylem	AT2G45220	0.010260256227969361
Protoxylem	AT3G16440	0.021339161091913125
Protoxylem	AT3G10710	0.0201423216393663
Protoxylem	AT1G02640	0.2418419205899974
Protoxylem	AT5G59870	0.009404697343323326
Protoxylem	AT5G66400	0.005708485812844387
Protoxylem	AT5G19800	0.01784990631876552
Protoxylem	AT4G35770	0.003946979394989768
Protoxylem	AT2G03720	0.0200652619864581
Protoxylem	AT2G05520	0.0027638819801454515
Protoxylem	AT3G16390	0.020488240909094194
Protoxylem	AT4G28850	0.004283947823765639
Protoxylem	AT5G54270	0.004578486068354778
Protoxylem	AT2G36120	0.006568396731199555
Protoxylem	AT1G73330	0.009978940330168789
Protoxylem	AT3G22415	0.1547793348271023
Protoxylem	AT4G03280	0.0040828536569411595
Protoxylem	AT3G27360	0.013307438717505027
Protoxylem	AT4G10250	0.004007085204701585
Protoxylem	AT2G45180	0.01306613115093074
Protoxylem	AT5G24313	0.016068223192399794
Protoxylem	AT2G26500	0.002520785537127616
Protoxylem	AT4G02520	0.006965564144455909
Protoxylem	AT5G39580	0.00829562575992263
Protoxylem	AT3G53650	0.011168658355546856
Protoxylem	AT1G21525	0.013331890518364151
Protoxylem	AT4G22217	0.01999786484267323
Protoxylem	AT3G54580	0.02353371240115565
Protoxylem	AT4G18425	0.1451696935327095
Protoxylem	AT1G02920	0.00728167556050817
Protoxylem	AT1G76930	0.008397632199863283
Protoxylem	AT5G45970	0.17428642786574755
Protoxylem	AT5G59720	0.0069254400422918815
Protoxylem	AT3G12870	0.006568514662462286
Protoxylem	AT3G23730	0.012307713731249144
Protoxylem	AT1G09200	0.008732724371702751
Protoxylem	AT4G08770	0.008914726819920765
Protoxylem	AT5G54690	0.20535494889105135
Protoxylem	AT5G11440	0.017570344895428948
Protoxylem	AT3G07070	0.023087468839619544
Protoxylem	AT2G04850	0.13095086636531897
Protoxylem	AT5G57785	0.013740380922045506
Protoxylem	AT5G52390	0.0030718353740457555
Protoxylem	AT3G25980	0.008945681427500117
Protoxylem	AT2G34790	0.17561730836735034
Protoxylem	AT4G12550	0.02358836538984172
Protoxylem	AT5G40590	0.006522994203017444
Protoxylem	AT1G27740	0.021198683187774674
Protoxylem	AT3G46230	0.012006408788491208
Protoxylem	AT5G14510	0.1091459739427705
Protoxylem	AT3G16140	0.003282200004733962
Protoxylem	AT5G09220	0.008158727666873204
Protoxylem	AT1G73580	0.020841728128079603
Protoxylem	AT5G62360	0.001929899122083902
Protoxylem	AT4G02800	0.0058109094328463885
Protoxylem	AT1G03920	0.011280052220147031
Protoxylem	AT4G23670	0.010910057352542177
Protoxylem	AT3G03130	0.00797141229429192
Protoxylem	AT3G21055	0.0018585150970341908
Protoxylem	AT3G51030	0.09990977184713203
Protoxylem	AT5G17160	0.008535638390776834
Protoxylem	AT4G33550	0.006180239053927957
Protoxylem	AT5G54370	0.022675225005193606
Protoxylem	AT2G27140	0.004648933552075953
Protoxylem	AT5G42710	0.21819949910301603
Protoxylem	AT4G25790	0.01837892899611078
Protoxylem	AT1G52230	0.0017738506757397855
Protoxylem	AT5G14330	0.022111606578980442
Protoxylem	AT1G08380	0.005126104276215644
Protoxylem	AT1G05260	0.026446696382483873
Protoxylem	AT3G47470	0.008328023061686495
Protoxylem	AT1G66690	0.16236548551066948
Protoxylem	AT4G34580	0.02238006181387572
Protoxylem	AT1G29910	0.0019424177257733313
Protoxylem	AT1G52060	0.02052055989336016
Protoxylem	AT4G39950	0.005141546915406611
Protoxylem	AT5G18970	0.00592783965439683
Protoxylem	AT3G46320	0.009301030552021807
Protoxylem	AT5G14740	0.006522367092183932
Protoxylem	AT1G20340	0.0049754840277790695
Protoxylem	AT1G58370	0.2109411402722951
Protoxylem	AT2G23170	0.005412466590243877
Protoxylem	AT5G42510	0.010463278505971013
Protoxylem	AT5G22880	0.009831977850041125
Protoxylem	AT1G24030	0.10472451508879785
Protoxylem	AT1G26450	0.005980929529325115
Protoxylem	AT4G21280	0.0025131662835885505
Protoxylem	AT2G28790	0.008212340504012532
Protoxylem	AT4G23680	0.010648799174719692
Protoxylem	AT1G14890	0.13990727900992536
Protoxylem	AT2G36650	0.003891686570478999
Protoxylem	AT5G41040	0.014222074856012606
Protoxylem	AT1G72610	0.002767925125261158
Protoxylem	AT3G15650	0.005921554757489343
Protoxylem	AT2G46630	0.005655604354291927
Protoxylem	AT3G56275	0.04825961178643604
Protoxylem	AT1G20190	0.012475019919603375
Protoxylem	AT1G42970	0.0024656390691081853
Protoxylem	AT4G11290	0.026041851070756468
Protoxylem	AT1G47410	0.12026040523526076
Protoxylem	AT1G12040	0.02178702691620053
Protoxylem	AT4G04460	0.11052972082632183
Protoxylem	AT1G44970	0.008792308851705928
Protoxylem	AT3G51600	0.012672217362524952
Protoxylem	AT3G18260	0.004431886998473242
Protoxylem	AT2G15780	0.0029134873879043447
Protoxylem	AT2G29500	0.005685259091105148
Protoxylem	AT3G14420	0.0021656350236681785
Protoxylem	AT2G31085	0.012369521417014216
Protoxylem	AT1G12900	0.0037575471117859346
Protoxylem	AT4G12510	0.03720704064954213
Protoxylem	AT4G12580	0.004428643253116393
Protoxylem	AT5G37660	0.005947653614143749
Protoxylem	AT1G68290	0.006147217247954515
Protoxylem	AT3G28600	0.004054133026652672
Protoxylem	AT4G36430	0.005462207262123733
Protoxylem	AT3G51720	0.005297826267307749
Protoxylem	AT3G54040	0.06326639518369374
Protoxylem	AT1G68810	0.10297706273941123
Protoxylem	AT2G45750	0.019339480968862535
Protoxylem	AT5G46870	0.018509023519745618
Protoxylem	AT1G06090	0.04916143452066455
Protoxylem	AT2G26760	0.006801681291840617
Protoxylem	AT2G28740	0.00973636879475888
Protoxylem	AT4G12470	0.0018186406573310737
Protoxylem	AT2G02010	0.006929132215600214
Protoxylem	AT1G79620	0.13319908804260397
