cell_name	feature	corr_value
QC	AT1G20850	0.007220722706996612
QC	AT1G50060	0.009083061875671334
QC	AT3G27200	0.00388401249207546
QC	AT1G13620	0.13017521729989395
QC	AT4G35350	0.006547455896772042
QC	AT1G67090	0.004936565425634121
QC	AT4G34970	0.11375530846249035
QC	AT1G29930	0.008738354232054005
QC	AT4G31840	0.02752470056080005
QC	AT5G16250	0.02120182876574097
QC	AT5G51890	0.004874622450389849
QC	AT5G60020	0.0057285498558496805
QC	AT2G04025	0.15237891669899667
QC	AT3G18280	0.01337472803270917
QC	AT1G51470	0.01041649361897317
QC	AT3G24020	0.00772401752608388
QC	AT4G25820	0.009351954309803429
QC	AT1G29920	0.004135740779215226
QC	AT2G40113	0.0069843478845032945
QC	AT4G40090	0.013683488049289746
QC	AT5G38410	0.003580225090500794
QC	AT4G13580	0.008407201505031934
QC	AT3G62680	0.013275272929937314
QC	AT5G57530	0.010816311498718213
QC	AT3G21550	0.006219979575465741
QC	AT3G49960	0.013432612326726179
QC	AT5G67400	0.012762018270568692
QC	AT2G16005	0.019663317484099302
QC	AT3G55230	0.008611282002141611
QC	AT4G02270	0.00736026566279876
QC	AT2G28315	0.005368754881315778
QC	AT3G16920	0.006157062525675229
QC	AT2G36100	0.009599544423186687
QC	AT5G35190	0.011941583885346933
QC	AT4G27435	0.008064778256005978
QC	AT3G02640	0.019546804691904743
QC	AT5G02640	0.007645711589745391
QC	AT2G47540	0.014883447038002132
QC	AT2G05380	0.0039953388828752115
QC	AT2G31083	0.008754711857967671
QC	AT1G12560	0.010771459974943056
QC	AT1G47600	0.009178518615016154
QC	AT4G23800	0.02097162287074649
QC	AT5G03170	0.006710611035059091
QC	AT1G65570	0.006281920048997973
QC	AT1G54970	0.012463347093037423
QC	AT5G40020	0.005492860516902355
QC	AT5G60490	0.008345474359612982
QC	AT2G38080	0.006935299852555583
QC	AT5G44030	0.006779554810741682
QC	AT2G28670	0.011109046355161146
QC	AT2G05070	0.002931201172462115
QC	AT5G03260	0.0056557567923789555
QC	AT1G79040	0.00819469780516927
QC	AT3G62020	0.005401960152678493
QC	AT4G00680	0.010836648754838715
QC	AT5G17420	0.005029705189943031
QC	AT5G16490	0.006302408658584475
QC	AT5G04200	0.009796329158423461
QC	AT3G61470	0.003715340783475434
QC	AT2G24980	0.01175383926606823
QC	AT2G39730	0.0053959796500629075
QC	AT1G26820	0.00858573963776119
QC	AT4G26010	0.013279114692894053
QC	AT1G08560	0.025400484121593736
QC	AT5G15290	0.011044015530420318
QC	AT1G61520	0.004387290432209558
QC	AT2G02990	0.005250099331853636
QC	AT5G57625	0.012361264614328954
QC	AT4G13390	0.010705608294967773
QC	AT2G20520	0.009499825709502608
QC	AT3G02120	0.019146201350264767
QC	AT1G63120	0.011250204134349302
QC	AT3G53980	0.006251807627421989
QC	AT4G22214	0.01142085665333324
QC	AT4G28140	0.005027581769023911
QC	AT5G04960	0.011507813669323604
QC	AT1G65310	0.013711716044069795
QC	AT5G06630	0.010718235237130443
QC	AT1G43790	0.006518415968151255
QC	AT3G54890	0.0055422746198512144
QC	AT4G39675	0.003560738426260439
QC	AT2G27740	0.007009769677613569
QC	AT3G09925	0.013217465467686014
QC	AT4G18780	0.006625472802106242
QC	AT5G38420	0.002456140824201844
QC	AT4G08400	0.011286383458409512
QC	AT4G38970	0.004040971917393645
QC	AT1G12090	0.022664476894090648
QC	AT3G54590	0.01468494541681921
QC	AT1G62980	0.012155710359305223
QC	AT1G08283	0.005454495963770304
QC	AT2G30570	0.006968558454920885
QC	AT5G05500	0.014604945424575203
QC	AT3G51280	0.03158462256277978
QC	AT1G02335	0.0040534252428385984
QC	AT5G06150	0.028680508965319103
QC	AT3G26650	0.005161434727322758
QC	AT5G12870	0.005339268511459023
QC	AT5G66230	0.020898792513170804
QC	AT5G38430	0.004854236978736016
QC	AT2G05100	0.005110633423348316
QC	AT5G06640	0.009016073575000625
QC	AT5G12020	0.01892259952449243
