cell_name	feature	corr_value
Protophloem	AT1G08160	0.2825826095139151
Protophloem	AT1G29520	0.2600432080190873
Protophloem	AT2G37590	0.238909965883262
Protophloem	AT2G18380	0.22111483110434774
Protophloem	AT5G02140	0.2112447059581852
Protophloem	AT1G11915	0.2101934974713084
Protophloem	AT5G02460	0.18846560437273344
Protophloem	AT4G20270	0.18555579375169406
Protophloem	AT3G01950	0.1829877617829477
Protophloem	AT5G60200	0.18207542327975176
Protophloem	AT4G29920	0.17887489716258695
Protophloem	AT1G69588	0.1748131332141124
Protophloem	AT1G06490	0.17457228614869294
Protophloem	AT3G01940	0.16798118565883566
Protophloem	AT5G11100	0.1671072146233898
Protophloem	AT5G18970	0.16196554320410533
Protophloem	AT4G05220	0.158894123409974
Protophloem	AT4G17905	0.15361681868455848
Protophloem	AT1G71050	0.1535720275536063
Protophloem	AT1G79430	0.14494542835297786
Protophloem	AT2G37925	0.14005118068987046
Protophloem	AT3G28455	0.1366667334436937
Protophloem	AT2G16850	0.13533975816235172
Protophloem	AT5G48060	0.1306385294438276
Protophloem	AT5G17980	0.13060721836491415
Protophloem	AT4G29230	0.13029923040539532
Protophloem	AT4G14740	0.12575949172642314
Protophloem	AT1G69690	0.12393707172692747
Protophloem	AT1G64700	0.12339165874998162
Protophloem	AT3G43270	0.12306008635229355
Protophloem	AT1G75720	0.12249092666752327
Protophloem	AT2G44940	0.12101188126973553
Protophloem	AT5G42720	0.11947818844547616
Protophloem	AT4G12580	0.11681853485032988
Protophloem	AT5G11990	0.11425599402700146
Protophloem	AT5G50290	0.11334387660185567
Protophloem	AT3G59370	0.11220085779636477
Protophloem	AT3G52490	0.11055685588849426
Protophloem	AT4G28330	0.10979468982985116
Protophloem	AT2G45470	0.10979461154761687
Protophloem	AT2G03500	0.1096402573605494
Protophloem	AT1G11570	0.10801994284005728
Protophloem	AT2G44830	0.10775572398920227
Protophloem	AT1G68430	0.10717700740062774
Protophloem	AT2G46630	0.10284769805229974
Protophloem	AT1G63310	0.10032128992012916
Protophloem	AT4G15970	0.09767104375245317
Protophloem	AT3G09070	0.09469390038368493
Protophloem	AT1G77885	0.09341837854606223
Protophloem	AT1G07640	0.09252850247422986
Protophloem	AT5G65040	0.09219304682432937
Protophloem	AT5G57110	0.09198902041557704
Protophloem	AT1G52140	0.0918073864995636
Protophloem	AT4G03415	0.09119672589116716
Protophloem	AT3G03270	0.08890269931186574
Protophloem	AT3G16070	0.08890110298459494
Protophloem	AT1G70470	0.08820520015955823
Protophloem	AT4G21310	0.08793921781016382
Protophloem	AT1G16022	0.0864635356864916
Protophloem	AT1G05610	0.08608458488147118
Protophloem	AT5G14890	0.08584667698490689
Protophloem	AT1G69970	0.08507906803032991
Protophloem	AT1G60390	0.08449632824449574
Protophloem	AT1G29380	0.084434354114324
Protophloem	AT3G49360	0.0834663766913977
Protophloem	AT3G05327	0.08313841662094748
Protophloem	AT1G77855	0.08289632189228169
Protophloem	AT2G34680	0.08223315888148132
Protophloem	AT3G21770	0.08043412978471537
Protophloem	AT4G38580	0.07980998852886995
Protophloem	AT5G37485	0.0796066695763086
Protophloem	AT2G30890	0.07937350944541566
Protophloem	AT1G05470	0.07936806482271422
Protophloem	AT4G11910	0.07855226603648764
Protophloem	AT2G32280	0.07705941946804151
Protophloem	AT5G40980	0.0761052327004073
Protophloem	AT2G39870	0.07555619434988417
Protophloem	AT1G79760	0.07477900789706206
Protophloem	AT1G73850	0.0732047816762107
Protophloem	AT5G14110	0.07281352824313403
Protophloem	AT2G41330	0.07280932058472896
Protophloem	AT3G54290	0.07222370017938158
Protophloem	AT1G69080	0.072051566021721
Protophloem	AT4G37450	0.07185583573914434
Protophloem	AT5G08391	0.07175271074336342
Protophloem	AT1G19415	0.07109138231892408
Protophloem	AT2G37610	0.07081487444064749
